ID,Title,Creator,Tags,Published Time,Duration,Description,View Count,Like Count,Like Rate,Comment Count,Error,YouTube Links,Archive URL
,YouTube Original: Behind The Beats,YouTube,,2005-02-14T00:00:00Z,,,,,,,,Deleted,https://archive.org/details/youtube-original-behind-the-beats
keroro,,,,2005-11-28T00:00:00Z,,,,,,,,Deleted,https://archive.org/details/keroro-by-sesame-123-2
keroro,,,,2005-11-28T00:00:00Z,,,,,,,,Deleted,https://archive.org/details/keroro-by-sesame-123-1
,Oddworld Music Video Vol.1,TigerXtrm2,,2005-12-29T00:00:00Z,,,,,,,,Deleted,https://archive.org/details/oddworld_music_video_vol1
kE4wkQVle0k,Oddworld Music Video Vol.2,TigerXtrm2,"['oddworld', 'abe', 'exoddus', 'exodus', 'music', 'video']",2005-12-29T17:39:47Z,PT5M15S,"My second music video featuring Oddworld footage. The first one worked out pretty good, so I had another go, this time using footage from Oddworld's Abe's Exoddus.",21671,79,,14,,https://www.youtube.com/watch?v=kE4wkQVle0k,https://archive.org/details/Oddworld_music_video_vol2
VDdco1D4g8k,Oddworld Music Video Vol.3,TigerXtrm2,"['oddworld', 'stranger', 'wrath', 'wild', 'west', 'music', 'video']",2005-12-29T18:28:37Z,PT5M36S,"Third music video I made using stuff from Oddworld. This time from Oddworld: Stranger's Wrath.

Music:
The Rasmus - In the Shadows
Disturbed - Land of Confusion",22264,112,,19,,https://www.youtube.com/watch?v=VDdco1D4g8k,https://archive.org/details/oddworld_music_video_vol1_202209
,DJ D Fab J - New World (Databass Remix),DJ D Fab J,,2006-01-01T00:00:00Z,,,,,,,Deleted,https://www.youtube.com/watch?v=9tub_OI-7FY,https://archive.org/details/dj-d-fab-j-new-world-databass-remix
Xz7_3n7xyDg,Liam Lynch: United States of Whatever,mrWoot,"['United', 'States', 'of', 'Whatever', 'Liam', 'Lynch']",2006-01-10T19:01:32Z,PT1M29S,United States of Whatever by Liam Lynch.,7706789,62656,,6080,,https://www.youtube.com/watch?v=Xz7_3n7xyDg,https://archive.org/details/youtube-Xz7_3n7xyDg
HA-bP5fZwR0,DOA - Foo Fighters,endlessdark519,"['DOA', 'Foo', 'Fighters']",2006-01-16T15:48:41Z,PT4M30S,DOA music video,1358775,4875,,444,,https://www.youtube.com/watch?v=HA-bP5fZwR0,https://archive.org/details/youtube-HA-bP5fZwR0
Do_HpqILPLo,Monochrome - Dominique A & Yann Tiersen,Marta Altieri,"['yann', 'tiersen', 'dominique', 'monochrome']",2006-01-29T18:21:37Z,PT3M42S,Monochrome clip by Yann Tiersen,2614256,11838,,453,,https://www.youtube.com/watch?v=Do_HpqILPLo,https://archive.org/details/youtube-Do_HpqILPLo
Wimwr1sTO-c,Crank County Daredevils LIVE,rAwTiMe,"['Rollergirls', 'Crank', 'County', 'Daredevils', 'Metal', 'Rock', 'Crotch', 'rock', 'hair', 'metal', 'Asheville', 'North', 'Carolina', 'public', 'access', 'tv', 'music', 'vi']",2006-02-04T00:00:00Z,PT3M37S,"Asheville, North Carolina's Crank County Daredevils taped live at Austin Texas' LoneStar Roller Derby",14472,30,,6,,https://www.youtube.com/watch?v=Wimwr1sTO-c,https://archive.org/details/youtube-Wimwr1sTO-c
Ef-U0ZXZch0,ECHOSET Live in studio on CapZeyeZ,rAwTiMe,"['austin', 'texas', 'echoset', 'capzeyez', 'dave', 'prewitt', 'live', 'public', 'access']",2006-02-04T01:49:34Z,PT4M34S,Austin Texas' ECHOSET performing live on cable access show CapZeyeZ.\r\nECHOSET: http://www.echoset.com/\r\nCapZeyeZ: http://www.rawtime.com/",1762,7,,2,,https://www.youtube.com/watch?v=Ef-U0ZXZch0,https://archive.org/details/youtube-Ef-U0ZXZch0
6jl-UplVef0,ELVIS ON SPEED Live in Studio,rAwTiMe,"['elvis', 'on', 'speed', 'rock', 'roll', 'skynyrd', 'freebird', 'austin', 'texas', 'cable', 'access', 'tv']",2006-02-04T09:00:02Z,PT3M2S,"Austin rock n roll trio ELVIS ON SPEED taped live on cable access tv show CapZeyeZ
ELVIS ON SPEED: http://www.elvisonspeed.com/
CapZeyeZ: http://www.rawtime.com/",14545,26,,6,,https://www.youtube.com/watch?v=6jl-UplVef0,https://archive.org/details/youtube-6jl-UplVef0
ydZOmp7PU1U,Ignitor Live at Room 710 Austin Texas,rAwTiMe,"['Ignitor', 'heavy', 'metal', 'agony', 'column', 'austin', 'live', 'music', 'sxsw', 'room', '710', 'red', 'river', 'capzeyez', 'dave', 'prewitt', 'rawtime', 'raw', 'time']",2006-02-05T01:26:20Z,PT4M48S,"Austin Heavy Metal genius'' IGNITOR taped live in MArch 2005
IGNITOR: http://www.ignitor.org/
CapZeyeZ: http://www.rawtime.com/",3927,19,,2,,https://www.youtube.com/watch?v=ydZOmp7PU1U,https://archive.org/details/youtube-ydZOmp7PU1U
XZjvrhTStnI,JB Beverley & The Wayward Drifters-"The Wayward Drifter" in studio,rAwTiMe,"['jb', 'beverley', 'wayward', 'drifters', 'baltimore', 'austin', 'texas', 'cable', 'access', 'television', 'tv', 'public', 'dave', 'prewitt', 'capzeyez']",2006-02-05T06:27:01Z,PT5M55S,"DaveTV.org brings you  JB Beverley & The Wayward Drifters-""The Wayward Drifter""
Bluegrass you say? I say BANJOS ROCK! Check out some of the finest bluegrass period here!
http://www.waywarddrifters.com/
CapZeyeZ: http://www.rawtime.com/",23386,194,,23,,https://www.youtube.com/watch?v=XZjvrhTStnI,https://archive.org/details/youtube-XZjvrhTStnI
0E1P7Dz5FxA,WT SPECIAL Austin Tx Redneckabilly music,rAwTiMe,"['wt', 'special', 'white', 'trash', 'rock', 'hellbilly', 'rockabilly', 'redneckabilliy', 'austin', 'texas', 'hole', 'in', 'the', 'wall', 'live', 'cable', 'access', 'tv', 'show']",2006-02-05T06:50:10Z,PT3M30S,"Austin redneck masters WT SPECIAL performing live in studio on cable access tv show CapZeyeZ
WT SPECIAL: http://www.wtspecial.com/
CapZeyeZ: http://www.rawtime.com/",2731,13,,1,,https://www.youtube.com/watch?v=0E1P7Dz5FxA,https://archive.org/details/youtube-0E1P7Dz5FxA
ZaakreUCFW8,Kenneth Brian live in studio on CapZeyeZ,rAwTiMe,"['Kenneth', 'brian', 'capzeyez', 'austin', 'texas', 'nashville', 'country', 'hank', 'williams', 'sr', 'live', 'public', 'access', 'cable']",2006-02-05T08:17:02Z,PT3M9S,"Nashvillian now Austinite Kenneth Brian shows homeage to the true country legends in his sound. A true talent!
KENNETH BRIAN: http://www.kennethbrian.com/
CapZeyeZ: http://www.rawtime.com/",2876,12,,1,,https://www.youtube.com/watch?v=ZaakreUCFW8,https://archive.org/details/youtube-ZaakreUCFW8
U81OS6CohdM,Steve Poltz live in Austin Texas,rAwTiMe,"['steve', 'poltz', 'rugburns', 'austin', 'texas', 'capzeyez', 'dave', 'prewitt', 'cable', 'access', 'television', 'public', 'free', 'eddie', 'vedder', 'od']",2006-02-05T11:21:56Z,PT4M29S,"Steve Poltz & Stinky performing the Rugburns classic ""Me & Eddie Vedder"" live in ustin Texas March 2005.
STEVE POLTZ: http://www.poltz.com/
CapZeyeZ: http://www.rawtime.com/",7567,23,,5,,https://www.youtube.com/watch?v=U81OS6CohdM,https://archive.org/details/youtube-U81OS6CohdM
X3_wy5dAl-U,Vanilla Ice Live in Austin Texas,rAwTiMe,"['vanilla', 'ice', 'rap', 'baby', 'texas', 'austin', 'capzeyez', 'dave', 'prewitt', 'hip', 'hop', 'wack', 'whack']",2006-02-05T14:13:06Z,PT5M1S,DaveTV.org brings you Vanilla Ice performing his hit single "Ice Ice Baby live during SXSW 2005 in Austin Texas.,395247,534,,124,,https://www.youtube.com/watch?v=X3_wy5dAl-U,https://archive.org/details/youtube-X3_wy5dAl-U
z5PDpDue5Fs,MURPHY's LAW Interview on rAw TiMe,rAwTiMe,"['nyc', 'hardcore', 'punk', ""murphy's"", 'law', 'rawtime', 'cable', 'public', 'access', 'television', 'tv', 'dave', 'prewitt']",2006-02-05T21:51:09Z,PT8M32S,"Classic hardcore punk legends MURPHY's LAW came thru Austin & rAw TIMe caught up with em! See the exclusive interview here!
MURPHY'S LAW: http://www.murphyslawnyc.com/
rAw TiMe: http://www.rawtime.com/",15828,35,,19,,https://www.youtube.com/watch?v=z5PDpDue5Fs,https://archive.org/details/youtube-z5PDpDue5Fs
9F-8sHh5hUs,SUPERSUCKERS Interview on rAw TiMe,rAwTiMe,"['supersuckers', 'raw', 'time', 'eddie', 'spaghetti', 'live', 'interview', 'stubbs', 'austin', 'public', 'cable', 'access', 'tv', 'television', 'dave', 'prewitt']",2006-02-06T05:19:55Z,PT10M45S,"Rock monsters, best band in the world- THE SUPERSUCKERS interviewed prior to their ground shaking Stubbs BBQ performance 2005. rAw TiMe caught up with the Eddie Spaghetti & he sure had some words of wisdom. Turn on, tune in, freak out.
SUPERSUCKERS: http://www.supersuckers.com/
rAw TiMe: http://www.rawtime.com/",9634,38,,4,,https://www.youtube.com/watch?v=9F-8sHh5hUs,https://archive.org/details/youtube-9F-8sHh5hUs
pLtbx27jwCc,AREOLA 51 & RANDY BISCUIT TURNER LIVE!,rAwTiMe,"['Ministry', 'Butthole', 'Surfers', 'Big', 'Boys', 'Areola', '51', 'honky', 'live', 'capzeyez', 'dave', 'prewitt', 'cable', 'access', 'tv', 'television']",2006-02-06T10:26:06Z,PT4M26S,"Featuring members of Butthole Surfers, Honky, Scratch Acid & Ministry, Areola 51 covers the Spencer Davis Group classic ""I'm A Man"" with guest vocals from late punk rock legend Randy Biscuit Turner from the Big Boys. Shot in March 2005 in Austin Texas.",11943,42,,4,,https://www.youtube.com/watch?v=pLtbx27jwCc,https://archive.org/details/youtube-pLtbx27jwCc
3Nn3X-u1ZeI,Saint Seiya,Kultha,"['Saint', 'Seiya']",2006-02-22T19:45:25Z,PT2M50S,Saint Seiya,681252,1418,,546,,https://www.youtube.com/watch?v=3Nn3X-u1ZeI,https://archive.org/details/youtube-3Nn3X-u1ZeI
ITw6Ci1j7FA,Rights For Children,Urban Computing design,"['Children', 'Music', 'video', 'Human', 'Rights', 'childhood', 'natural']",2006-03-08T10:14:55Z,PT4M24S,"Music video, Human Rights For Children Now!
Music by Black Eyed Peas ""Where is the Love"".
Images of children from around the world.
By www.naturalchildhood.blogspot.com (this video was by me).",30592,53,,Not available,,https://www.youtube.com/watch?v=ITw6Ci1j7FA,https://archive.org/details/youtube-ITw6Ci1j7FA
gUkbhbAamG4,"JESSE TAYLOR (RIP) with THE LIFTERS - ""Old Town"" at The Continental Club, Austin, Tx. 10/25/04",rAwTiMe,"['Jesse', 'Taylor', 'guitar', 'The', 'Lifters', 'Austin', 'Texas', 'Continental', 'Club', 'rip', 'capzeyez', 'dave', 'prewitt', 'live', 'music', 'legend', 'lubbock']",2006-03-08T21:08:50Z,PT7M7S,"JESSE TAYLOR (RIP) with THE LIFTERS - ""Old Town"" at The Continental Club, Austin, Tx. 10/25/04

In the waning light of a winter's afternoon, Jesse Taylor turns away from his drawing table and grabs a caramel-colored acoustic guitar — a trusty Fender — that he keeps next to his desk. Taylor doesn't play much in public anymore, and he can't find a guitar pick among all these boxes of colored pencils.

Yet Jesse plays with confidence as he breaks into a loose, happy version of ""Don't Give Up"" — a rousing get-off-your-seat instrumental that opens his last studio album (""South Side Guitar,"" in collaboration with John X. Reed). Jesse penned the song himself, about the time he learned he was sick.

""Whenever anybody says to me, 'You're dying' or 'You're going to die,' I think to myself, 'Well, you're dying too. We're all dying. We start dying from the day we're born,"" says Taylor. ""As far as my own thoughts on mortality, well, it's a bummer. Because I've got so much I want to do. So much I need to do. And I get afraid, sometimes, that some of it is going to get cut short.""",5652,19,,1,,https://www.youtube.com/watch?v=gUkbhbAamG4,https://archive.org/details/youtube-gUkbhbAamG4
eErbmvUwgZE,Lives in the Balance  From Jackson Browne,Urban Computing design,"['Jackson', 'Browne', 'Anti', 'war', 'Music', 'iraq', 'children']",2006-03-08T21:34:19Z,PT3M38S,"Lives In The Balance (Exclusive Video)
From Jackson Browne Solo Acoustic, Vol. 1

An animated editorial by Andrew Thomas",20034,101,,Not available,,https://www.youtube.com/watch?v=eErbmvUwgZE,https://archive.org/details/youtube-eErbmvUwgZE
,Freedom MidQ,yellobizzle,,2006-03-23T00:00:00Z,,,,,,,,Deleted (Rule Violation),https://archive.org/details/youtube-RQpb8-8f0sQ
e_u056Z2EFU,MARIANA BELL-"Jeremy" live during SXSW Austin Tx. 3/16/2006,rAwTiMe,"['mariana', 'bell', 'new', 'york', 'austin', 'texas', 'tx', 'sxsw', 'capzeyez', 'raw', 'time', 'dave', 'prewitt', 'cable', 'access', 'television', 'tv', 'acoustic', 'rock', 'live']",2006-03-25T02:46:31Z,PT3M37S,A live performance of Mariana Bell's "Jeremy" shot in the lobby of Austin's Hilton Hotel during the 2006 SXSW Music Conference. Support Mariana's music at http://www.myspace.com/marianabell/,2566,6,,1,,https://www.youtube.com/watch?v=e_u056Z2EFU,https://archive.org/details/youtube-e_u056Z2EFU
9EEuoMYtazo,7/7 Training Exercise,yellobizzle,"['fulleblunt', 'fully', 'blunt', 'message', 'music', 'truth', 'lies', 'fight']",2006-03-26T11:27:16Z,PT1M27S,"ITV News, training exercise taking place on 7/7",6634,42,,8,,https://www.youtube.com/watch?v=9EEuoMYtazo,https://archive.org/details/youtube-9EEuoMYtazo
,Youtube: RBB_HQolr10 - TobyMac - Jesus Freak (Live),zoltanfoxx,,2006-03-28T00:00:00Z,,"shot in Kitchener, Ontario, at Family Fest... Short clip, but fun. i used the Live DC Talk CD for Audio... that's why you hear Tait, but don't see him, haha!",,,,,Account Close,https://www.youtube.com/watch?v=RBB_HQolr10,https://archive.org/details/youtube-RBB_HQolr10
mowkcleiDWA,If Only You Knew - Live Clip,Domus,"['IOYK', 'ifonloyyouknew', 'ifonlyouknew']",2006-03-28T13:44:50Z,PT1M40S,,1441,4,,2,,https://www.youtube.com/watch?v=mowkcleiDWA,https://archive.org/details/youtube-mowkcleiDWA
Ed5QrpIVfq8,Strike Edinburgh 28 March 2006,Urban Computing design,"['Strike', 'Scotland', 'Socialist', 'politics', 'SSP', 'Edinburgh', 'Moby', 'Music', 'Demo']",2006-03-29T11:55:04Z,PT10M33S,"Strike Edinburgh 28 March 2006 (Footage of the Journey, along Princes Street to the Gardens. Music By Moby",851,1,,0,,https://www.youtube.com/watch?v=Ed5QrpIVfq8,https://archive.org/details/youtube-Ed5QrpIVfq8
ibWuMGRFHCQ,ROB DICKINSON acoustic & interview SXSW 2006 on KLBJ-FM,rAwTiMe,"['rob', 'dickinson', 'catherine', 'wheel', 'klbj-fm', 'austin', 'texas', 'dave', 'prewitt', 'rawtime', 'capzeyez', 'public', 'access', 'television', 'tv']",2006-03-31T04:33:45Z,PT6M20S,"Former leader of CATHERINE WHEEL, ROB DICKINSON discusses his new release ""Fresh Wine For The Horses"" and plays acoustic on this KLBJ-FM live broadcast from SXSW 2006
http://www.myspace.com/robdickinson  
http://www.robdickinson.com/",7971,41,,15,,https://www.youtube.com/watch?v=ibWuMGRFHCQ,https://archive.org/details/youtube-ibWuMGRFHCQ
SsHErd5Sd8U,Nubian Oud Jam,youboob83,"['Oud', 'guitar', 'arabic', 'nubian', 'arab', 'africa', 'african', 'music']",2006-03-31T07:54:26Z,PT1M45S,"Sick african-style jam on the Oud (middle eastern guitar) by Abdo Jorob.

Clip is from:
http://www.mikeouds.com/",104995,341,,42,,https://www.youtube.com/watch?v=SsHErd5Sd8U,https://archive.org/details/youtube-SsHErd5Sd8U
1Ko3nc6sDFM,Abadi El Johar Tears it UP!,youboob83,"['music', 'oud', 'guitar', 'arabic', 'ud', 'arab']",2006-03-31T08:03:11Z,PT3M23S,"ILL Oud Taqsim(improvisation) by Abadi El Johar.
This guy is out of control...too much skill...enjoy!


Clip is from:
http://www.mikeouds.com/",87323,281,,43,,https://www.youtube.com/watch?v=1Ko3nc6sDFM,https://archive.org/details/youtube-1Ko3nc6sDFM
ahOVh1VVD3w,Faridoooo!,youboob83,"['farid', 'oud', 'guitar', 'music', 'arabic', 'arab', 'egypt', 'egyptian']",2006-03-31T08:54:09Z,PT3M20S,"An oud taqsim by the master Farid El Atrash.  This guy has got skill...and man does he have STYLE!!!  Sort of dresses like Don Cherry!! *winks to canucks*


Clip is from:
http://www.mikeouds.com/",141989,173,,21,,https://www.youtube.com/watch?v=ahOVh1VVD3w,https://archive.org/details/youtube-ahOVh1VVD3w
1rdS8zNp3ow,SLINGSHOT HIPHOP- STRAIGHT OUTTA PALESTINE!!,youboob83,"['hiphop', 'rap', 'palestine', 'palestinian', 'arab', 'slingshot', 'sling', 'hip', 'hop', 'shot']",2006-03-31T09:55:44Z,PT5M18S,"Trailer for a documentary about Palestinian hiphop.

Clip from http://slingshothiphop.com/

Palestinian Hip Hop linkage:

Free the P
http://freethep.com/

Ramallah Underground
http://www.ramallahunderground.com/

Iron Sheik
http://www.ironsheik.biz/

The Nomads
http://www.thenomads.biz/

Fredwreck
http://fredwreck.com/

The Philistines
http://www.thephilistines.com/

Slingshot Hiphop
http://www.slingshothiphop.com/

ArabRappers.net
http://www.arabrappers.net/

DAM
http://www.dampalestine.com/
http://www.myspace.com/damrap",189963,596,,174,,https://www.youtube.com/watch?v=1rdS8zNp3ow,https://archive.org/details/youtube-1rdS8zNp3ow
RoaeAWMfhxM,Oud and Violin,youboob83,"['oud', 'ud', 'guitar', 'violin', 'music', 'arabic', 'cairo', 'egypt', 'egyptian', 'arab']",2006-03-31T22:43:57Z,PT3M50S,"Oud and Violin taqsim(improvisation)...interesting video with shots of Cairo.  Abdo Dagher on the Violin, Modathir Abul Wafa on the Oud.

Clip is from:
http://www.mikeouds.com/",41989,72,,10,,https://www.youtube.com/watch?v=RoaeAWMfhxM,https://archive.org/details/youtube-RoaeAWMfhxM
RVssEYwDbNY,Afif and  Faisal Jam it Out,youboob83,"['oud', 'tabla', 'guitar', 'drum', 'music', 'arabic', 'arab', 'ud']",2006-03-31T22:58:17Z,PT5M23S,"Solid jam by Afif Taian and Faisal Zedan.
Rate it!

Clip from www.mikeouds.com",58729,254,,24,,https://www.youtube.com/watch?v=RVssEYwDbNY,https://archive.org/details/youtube-RVssEYwDbNY
yY152bc_pjA,One Handed Oud Technique,youboob83,"['oud', 'ud', 'music', 'disabled', 'amputee', 'arabic', 'arab', 'iraq', 'iraqi', 'cairo']",2006-04-01T03:31:12Z,PT2M31S,"This clip shows Iraqi musician Naseer Shamma playing the Oud(middle eastern guitar) with one hand.  He developed this technique to give amputees and disabled people an opportunity to play music.  He teaches this technique at the House of Oud in Cairo.  What a guy...

Clip is from:
http://www.mikeouds.com/",188459,514,,89,,https://www.youtube.com/watch?v=yY152bc_pjA,https://archive.org/details/youtube-yY152bc_pjA
KMjODH_2Lb4,PAIL-"Binary Coda" live on CapZeyeZ 4/1/06,rAwTiMe,"['pail', 'austin', 'goth', 'industrial', 'metal', 'capzeyez', 'rawtime', 'dave', 'prewitt', 'cable', 'access', 'television', 'tv']",2006-04-03T01:14:47Z,PT4M15S,"Austin Chronicle Voted ""Best Industrial/Goth Band"" of 2006 - PAIL performing live in our studio. 
http://www.myspace.com/wearethebucket/
http://www.wearethebucket.com/",1050,6,,0,,https://www.youtube.com/watch?v=KMjODH_2Lb4,https://archive.org/details/youtube-KMjODH_2Lb4
OgSVXjNLFgo,PALESTINIAN HIPHOP - "WHO'S THE TERRORIST?!",youboob83,"['palestine', 'palestinian', 'israel', 'israeli', 'rap', 'hip', 'hop', 'hiphop', 'music', 'video', 'occupation', 'arab', 'arabic', 'terror', 'terrorist', 'terrorism']",2006-04-04T01:35:19Z,PT4M5S,"Dope music video from DAM (Da Arab Mcs).  FREE THE P YO!!!
http://www.dampalestine.com/
http://www.myspace.com/damrap

Palestinian Hip Hop linkage:

Free the P
http://freethep.com/

Ramallah Underground
http://www.ramallahunderground.com/

Iron Sheik
http://www.ironsheik.biz/

The Nomads
http://www.thenomads.biz/

Fredwreck
http://fredwreck.com/

The Philistines
http://www.thephilistines.com/

Slingshot Hiphop
http://www.slingshothiphop.com/

ArabRappers.net
http://www.arabrappers.net/",401117,2669,,733,,https://www.youtube.com/watch?v=OgSVXjNLFgo,https://archive.org/details/youtube-OgSVXjNLFgo
